...Utils file loaded	
...running on CPU	
training model with metric = f1, learning rate = 0.200, K = 20, J = 10, threshold = 0.000, embedding size = 50	
Running LSTM model	
Epoch 98, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 863/999, {Recall = 0.144341, Precision = 0.797459, F1 = 0.244438}, query = aurora	
Epoch 99, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 933/999, {Recall = 0.134874, Precision = 0.804775, F1 = 0.231029}, query = aurora	
Epoch 100, loss  = 0.003, epsilon = 0.100, sum(y)/len(y) = 942/999, {Recall = 0.133091, Precision = 0.805160, F1 = 0.228425}, query = aurora	
Epoch 101, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 952/999, {Recall = 0.132134, Precision = 0.805930, F1 = 0.227043}, query = aurora	
Epoch 102, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 945/999, {Recall = 0.132205, Precision = 0.802849, F1 = 0.227025}, query = aurora	
Epoch 103, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 950/999, {Recall = 0.132535, Precision = 0.805930, F1 = 0.227636}, query = aurora	
Epoch 104, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 944/999, {Recall = 0.133274, Precision = 0.804005, F1 = 0.228647}, query = aurora	
Epoch 105, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 920/999, {Recall = 0.136696, Precision = 0.805545, F1 = 0.233730}, query = aurora	
Epoch 106, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 937/999, {Recall = 0.133756, Precision = 0.803620, F1 = 0.229341}, query = aurora	
Epoch 107, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 899/999, {Recall = 0.139219, Precision = 0.802079, F1 = 0.237257}, query = aurora	
Epoch 108, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 910/999, {Recall = 0.138198, Precision = 0.804390, F1 = 0.235872}, query = aurora	
Epoch 109, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 922/999, {Recall = 0.135769, Precision = 0.802849, F1 = 0.232260}, query = aurora	
Epoch 110, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 936/999, {Recall = 0.134038, Precision = 0.805160, F1 = 0.229818}, query = aurora	
Epoch 111, loss  = 0.001, epsilon = 0.100, sum(y)/len(y) = 910/999, {Recall = 0.137526, Precision = 0.801694, F1 = 0.234777}, query = aurora	
Epoch 112, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 915/999, {Recall = 0.137294, Precision = 0.803620, F1 = 0.234521}, query = aurora	
Epoch 113, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 890/999, {Recall = 0.140028, Precision = 0.797844, F1 = 0.238243}, query = aurora	
Epoch 114, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 910/999, {Recall = 0.137303, Precision = 0.803620, F1 = 0.234534}, query = aurora	
Epoch 115, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 932/999, {Recall = 0.134423, Precision = 0.804005, F1 = 0.230336}, query = aurora	
Epoch 116, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 919/999, {Recall = 0.136596, Precision = 0.804005, F1 = 0.233518}, query = aurora	
Epoch 117, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 901/999, {Recall = 0.138768, Precision = 0.800924, F1 = 0.236552}, query = aurora	
Epoch 118, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 918/999, {Recall = 0.136781, Precision = 0.803620, F1 = 0.233772}, query = aurora	
Epoch 119, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 927/999, {Recall = 0.135703, Precision = 0.805545, F1 = 0.232277}, query = aurora	
Epoch 120, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 913/999, {Recall = 0.137339, Precision = 0.803620, F1 = 0.234587}, query = aurora	
Epoch 121, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 955/999, {Recall = 0.131690, Precision = 0.804390, F1 = 0.226327}, query = aurora	
Epoch 122, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 934/999, {Recall = 0.134289, Precision = 0.804390, F1 = 0.230155}, query = aurora	
Epoch 123, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 900/999, {Recall = 0.139272, Precision = 0.801309, F1 = 0.237300}, query = aurora	
Epoch 124, loss  = 0.001, epsilon = 0.100, sum(y)/len(y) = 918/999, {Recall = 0.136795, Precision = 0.804390, F1 = 0.233826}, query = aurora	
Epoch 125, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 914/999, {Recall = 0.137324, Precision = 0.805545, F1 = 0.234648}, query = aurora	
Epoch 126, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 901/999, {Recall = 0.139068, Precision = 0.803620, F1 = 0.237105}, query = aurora	
Epoch 127, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 917/999, {Recall = 0.137047, Precision = 0.804390, F1 = 0.234193}, query = aurora	
Epoch 128, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 907/999, {Recall = 0.137883, Precision = 0.800539, F1 = 0.235248}, query = aurora	
Epoch 129, loss  = 0.001, epsilon = 0.100, sum(y)/len(y) = 901/999, {Recall = 0.138843, Precision = 0.800924, F1 = 0.236659}, query = aurora	
Epoch 130, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 900/999, {Recall = 0.138830, Precision = 0.800154, F1 = 0.236607}, query = aurora	
Epoch 131, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 915/999, {Recall = 0.137472, Precision = 0.803235, F1 = 0.234765}, query = aurora	
Epoch 132, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 925/999, {Recall = 0.134988, Precision = 0.800154, F1 = 0.231004}, query = aurora	
Epoch 133, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 925/999, {Recall = 0.135793, Precision = 0.803620, F1 = 0.232328}, query = aurora	
Epoch 134, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 807/999, {Recall = 0.151841, Precision = 0.789372, F1 = 0.254690}, query = aurora	
Epoch 135, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 890/999, {Recall = 0.140247, Precision = 0.800924, F1 = 0.238696}, query = aurora	
Epoch 136, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 905/999, {Recall = 0.138662, Precision = 0.803620, F1 = 0.236514}, query = aurora	
Epoch 137, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 841/999, {Recall = 0.147249, Precision = 0.796688, F1 = 0.248558}, query = aurora	
Epoch 138, loss  = 0.001, epsilon = 0.100, sum(y)/len(y) = 937/999, {Recall = 0.133576, Precision = 0.804390, F1 = 0.229107}, query = aurora	
Epoch 139, loss  = 0.001, epsilon = 0.100, sum(y)/len(y) = 957/999, {Recall = 0.131667, Precision = 0.807085, F1 = 0.226399}, query = aurora	
Epoch 140, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 943/999, {Recall = 0.132908, Precision = 0.802464, F1 = 0.228046}, query = aurora	
Epoch 141, loss  = 0.003, epsilon = 0.100, sum(y)/len(y) = 942/999, {Recall = 0.132769, Precision = 0.803620, F1 = 0.227888}, query = aurora	
Epoch 142, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 950/999, {Recall = 0.131755, Precision = 0.803620, F1 = 0.226393}, query = aurora	
Epoch 143, loss  = 0.001, epsilon = 0.100, sum(y)/len(y) = 899/999, {Recall = 0.139084, Precision = 0.800924, F1 = 0.237010}, query = aurora	
Epoch 144, loss  = 0.001, epsilon = 0.100, sum(y)/len(y) = 909/999, {Recall = 0.137534, Precision = 0.800154, F1 = 0.234723}, query = aurora	
Epoch 145, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 861/999, {Recall = 0.143951, Precision = 0.796303, F1 = 0.243825}, query = aurora	
Epoch 146, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 919/999, {Recall = 0.136759, Precision = 0.804390, F1 = 0.233774}, query = aurora	
Epoch 147, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 911/999, {Recall = 0.137154, Precision = 0.801694, F1 = 0.234235}, query = aurora	
Epoch 148, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 879/999, {Recall = 0.141957, Precision = 0.798229, F1 = 0.241047}, query = aurora	
Epoch 149, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 905/999, {Recall = 0.138502, Precision = 0.801309, F1 = 0.236182}, query = aurora	
