Epoch 0, minibatch 97-160, sumy-leny = 3946-8000, Recall = 0.153052, Precision = 0.629344, F1 = 0.246224  
Epoch 0, minibatch 98-160, sumy-leny = 3947-8000, Recall = 0.166197, Precision = 0.654344, F1 = 0.265069  
Epoch 0, minibatch 99-160, sumy-leny = 3944-8000, Recall = 0.138498, Precision = 0.608247, F1 = 0.225621  
Epoch 0, minibatch 100-160, sumy-leny = 3947-8000, Recall = 0.168545, Precision = 0.635398, F1 = 0.266419 
Epoch 0, minibatch 101-160, sumy-leny = 3947-8000, Recall = 0.154930, Precision = 0.637066, F1 = 0.249245 
Epoch 0, minibatch 102-160, sumy-leny = 3942-8000, Recall = 0.130047, Precision = 0.580713, F1 = 0.212505 
Epoch 0, minibatch 103-160, sumy-leny = 3937-8000, Recall = 0.173239, Precision = 0.629693, F1 = 0.271723 
Epoch 0, minibatch 104-160, sumy-leny = 3936-8000, Recall = 0.162911, Precision = 0.644981, F1 = 0.260120 
Epoch 0, minibatch 105-160, sumy-leny = 3944-8000, Recall = 0.174178, Precision = 0.637457, F1 = 0.273599 
Epoch 0, minibatch 106-160, sumy-leny = 3945-8000, Recall = 0.150704, Precision = 0.570160, F1 = 0.238396 
Epoch 0, minibatch 107-160, sumy-leny = 3955-8000, Recall = 0.159624, Precision = 0.612613, F1 = 0.253259 
Epoch 0, minibatch 108-160, sumy-leny = 3955-8000, Recall = 0.172300, Precision = 0.643860, F1 = 0.271852 
Epoch 0, minibatch 109-160, sumy-leny = 3956-8000, Recall = 0.130516, Precision = 0.624719, F1 = 0.215922 
Epoch 0, minibatch 110-160, sumy-leny = 3955-8000, Recall = 0.120188, Precision = 0.640000, F1 = 0.202372 
Epoch 0, minibatch 111-160, sumy-leny = 3954-8000, Recall = 0.152113, Precision = 0.651911, F1 = 0.246669 
Epoch 0, minibatch 112-160, sumy-leny = 3946-8000, Recall = 0.144601, Precision = 0.681416, F1 = 0.238575 
Epoch 0, minibatch 113-160, sumy-leny = 3941-8000, Recall = 0.154930, Precision = 0.670732, F1 = 0.251716 
Epoch 0, minibatch 114-160, sumy-leny = 3942-8000, Recall = 0.156338, Precision = 0.662028, F1 = 0.252943 
Epoch 0, minibatch 115-160, sumy-leny = 3942-8000, Recall = 0.145540, Precision = 0.643154, F1 = 0.237366 
Epoch 0, minibatch 116-160, sumy-leny = 3943-8000, Recall = 0.150235, Precision = 0.666667, F1 = 0.245211 
Epoch 0, minibatch 117-160, sumy-leny = 3946-8000, Recall = 0.202347, Precision = 0.673438, F1 = 0.311191 
Epoch 0, minibatch 118-160, sumy-leny = 3951-8000, Recall = 0.190610, Precision = 0.641390, F1 = 0.293883 
Epoch 0, minibatch 119-160, sumy-leny = 3953-8000, Recall = 0.163850, Precision = 0.627698, F1 = 0.259866 
Epoch 0, minibatch 120-160, sumy-leny = 3961-8000, Recall = 0.184038, Precision = 0.687719, F1 = 0.290370 
Epoch 0, minibatch 121-160, sumy-leny = 3969-8000, Recall = 0.203286, Precision = 0.672360, F1 = 0.312185 
Epoch 0, minibatch 122-160, sumy-leny = 3972-8000, Recall = 0.141784, Precision = 0.625259, F1 = 0.231152 
Epoch 0, minibatch 123-160, sumy-leny = 3976-8000, Recall = 0.162441, Precision = 0.654064, F1 = 0.260248 
Epoch 0, minibatch 124-160, sumy-leny = 3976-8000, Recall = 0.149296, Precision = 0.659751, F1 = 0.243492 
Epoch 0, minibatch 125-160, sumy-leny = 3972-8000, Recall = 0.116432, Precision = 0.642487, F1 = 0.197138 
Epoch 0, minibatch 126-160, sumy-leny = 3973-8000, Recall = 0.149296, Precision = 0.613900, F1 = 0.240181 
Epoch 0, minibatch 127-160, sumy-leny = 3975-8000, Recall = 0.127230, Precision = 0.585313, F1 = 0.209024 
Epoch 0, minibatch 128-160, sumy-leny = 3977-8000, Recall = 0.122066, Precision = 0.616114, F1 = 0.203762 
Epoch 0, minibatch 129-160, sumy-leny = 3973-8000, Recall = 0.136620, Precision = 0.625806, F1 = 0.224277 
Epoch 0, minibatch 130-160, sumy-leny = 3969-8000, Recall = 0.123005, Precision = 0.623810, F1 = 0.205490 
Epoch 0, minibatch 131-160, sumy-leny = 3966-8000, Recall = 0.169014, Precision = 0.628272, F1 = 0.266371 
Epoch 0, minibatch 132-160, sumy-leny = 3970-8000, Recall = 0.146948, Precision = 0.622266, F1 = 0.237752 
Epoch 0, minibatch 133-160, sumy-leny = 3973-8000, Recall = 0.184507, Precision = 0.659396, F1 = 0.288335 
Epoch 0, minibatch 134-160, sumy-leny = 3968-8000, Recall = 0.152113, Precision = 0.600000, F1 = 0.242697 
Epoch 0, minibatch 135-160, sumy-leny = 3965-8000, Recall = 0.156338, Precision = 0.634286, F1 = 0.250847 
Epoch 0, minibatch 136-160, sumy-leny = 3968-8000, Recall = 0.166197, Precision = 0.615652, F1 = 0.261738 
Epoch 0, minibatch 137-160, sumy-leny = 3969-8000, Recall = 0.146009, Precision = 0.645228, F1 = 0.238132 
Epoch 0, minibatch 138-160, sumy-leny = 3970-8000, Recall = 0.156808, Precision = 0.605072, F1 = 0.249068 
Epoch 0, minibatch 139-160, sumy-leny = 3968-8000, Recall = 0.110798, Precision = 0.559242, F1 = 0.184953 
Epoch 0, minibatch 140-160, sumy-leny = 3968-8000, Recall = 0.158216, Precision = 0.622921, F1 = 0.252340 
Epoch 0, minibatch 141-160, sumy-leny = 3963-8000, Recall = 0.170892, Precision = 0.631944, F1 = 0.269032 
Epoch 0, minibatch 142-160, sumy-leny = 3959-8000, Recall = 0.149765, Precision = 0.656379, F1 = 0.243884 
Epoch 0, minibatch 143-160, sumy-leny = 3959-8000, Recall = 0.184977, Precision = 0.645902, F1 = 0.287591 
Epoch 0, minibatch 144-160, sumy-leny = 3956-8000, Recall = 0.142723, Precision = 0.586873, F1 = 0.229607 
Epoch 0, minibatch 145-160, sumy-leny = 3958-8000, Recall = 0.179343, Precision = 0.634551, F1 = 0.279649 
Epoch 0, minibatch 146-160, sumy-leny = 3948-8000, Recall = 0.117371, Precision = 0.628141, F1 = 0.197785 
Epoch 0, minibatch 147-160, sumy-leny = 3946-8000, Recall = 0.151174, Precision = 0.672234, F1 = 0.246838 
Epoch 0, minibatch 148-160, sumy-leny = 3942-8000, Recall = 0.159155, Precision = 0.653179, F1 = 0.255946 
Epoch 0, minibatch 149-160, sumy-leny = 3939-8000, Recall = 0.183099, Precision = 0.643564, F1 = 0.285088 
Epoch 0, minibatch 150-160, sumy-leny = 3944-8000, Recall = 0.150235, Precision = 0.650407, F1 = 0.244088 
Epoch 0, minibatch 151-160, sumy-leny = 3943-8000, Recall = 0.114554, Precision = 0.586538, F1 = 0.191673 
Epoch 0, minibatch 152-160, sumy-leny = 3938-8000, Recall = 0.110329, Precision = 0.591940, F1 = 0.185991 
Epoch 0, minibatch 153-160, sumy-leny = 3936-8000, Recall = 0.125822, Precision = 0.665012, F1 = 0.211607 
Epoch 0, minibatch 154-160, sumy-leny = 3936-8000, Recall = 0.143662, Precision = 0.624490, F1 = 0.233588 
Epoch 0, minibatch 155-160, sumy-leny = 3932-8000, Recall = 0.153052, Precision = 0.636719, F1 = 0.246783 
Epoch 0, minibatch 156-160, sumy-leny = 3932-8000, Recall = 0.130986, Precision = 0.605206, F1 = 0.215361 
Epoch 0, minibatch 157-160, sumy-leny = 3933-8000, Recall = 0.142254, Precision = 0.613360, F1 = 0.230945 
Epoch 0, minibatch 158-160, sumy-leny = 3939-8000, Recall = 0.162441, Precision = 0.662835, F1 = 0.260935 
Epoch 0, minibatch 159-160, sumy-leny = 3932-8000, Recall = 0.122535, Precision = 0.589165, F1 = 0.202876 
Epoch 0, minibatch 160-160, sumy-leny = 3928-8000, Recall = 0.122066, Precision = 0.599078, F1 = 0.202808 
Epoch 1, minibatch 1-160, sumy-leny = 3936-8000, Recall = 0.171362, Precision = 0.558104, F1 = 0.262213   
Epoch 1, minibatch 2-160, sumy-leny = 3943-8000, Recall = 0.221596, Precision = 0.617801, F1 = 0.326192   
Epoch 1, minibatch 3-160, sumy-leny = 3969-8000, Recall = 0.264319, Precision = 0.587070, F1 = 0.364519   
Epoch 1, minibatch 4-160, sumy-leny = 3990-8000, Recall = 0.242723, Precision = 0.539666, F1 = 0.334845   
Epoch 1, minibatch 5-160, sumy-leny = 3995-8000, Recall = 0.195305, Precision = 0.655118, F1 = 0.300904   
Epoch 1, minibatch 6-160, sumy-leny = 4030-8000, Recall = 0.315493, Precision = 0.622799, F1 = 0.418822   
Epoch 1, minibatch 7-160, sumy-leny = 4030-8000, Recall = 0.163380, Precision = 0.621429, F1 = 0.258736   
Epoch 1, minibatch 8-160, sumy-leny = 4023-8000, Recall = 0.154930, Precision = 0.654762, F1 = 0.250569   
Epoch 1, minibatch 9-160, sumy-leny = 4030-8000, Recall = 0.237559, Precision = 0.689373, F1 = 0.353352   
Epoch 1, minibatch 10-160, sumy-leny = 4034-8000, Recall = 0.223474, Precision = 0.696925, F1 = 0.338429  
Epoch 1, minibatch 11-160, sumy-leny = 4038-8000, Recall = 0.234272, Precision = 0.709815, F1 = 0.352277  
Epoch 1, minibatch 12-160, sumy-leny = 4054-8000, Recall = 0.352582, Precision = 0.657618, F1 = 0.459046  
Epoch 1, minibatch 13-160, sumy-leny = 4052-8000, Recall = 0.176056, Precision = 0.657895, F1 = 0.277778  
Epoch 1, minibatch 14-160, sumy-leny = 4059-8000, Recall = 0.192019, Precision = 0.693220, F1 = 0.300735  
Epoch 1, minibatch 15-160, sumy-leny = 4084-8000, Recall = 0.384038, Precision = 0.648692, F1 = 0.482454  
Epoch 1, minibatch 16-160, sumy-leny = 4112-8000, Recall = 0.347418, Precision = 0.651408, F1 = 0.453154  
Epoch 1, minibatch 17-160, sumy-leny = 4141-8000, Recall = 0.358216, Precision = 0.677019, F1 = 0.468529  
Epoch 1, minibatch 18-160, sumy-leny = 4165-8000, Recall = 0.350704, Precision = 0.651264, F1 = 0.455905  
Epoch 1, minibatch 19-160, sumy-leny = 4169-8000, Recall = 0.244601, Precision = 0.731742, F1 = 0.366643  
Epoch 1, minibatch 20-160, sumy-leny = 4164-8000, Recall = 0.150235, Precision = 0.698690, F1 = 0.247295  
Epoch 1, minibatch 21-160, sumy-leny = 4163-8000, Recall = 0.164319, Precision = 0.697211, F1 = 0.265957  
Epoch 1, minibatch 22-160, sumy-leny = 4162-8000, Recall = 0.159155, Precision = 0.721277, F1 = 0.260769  
Epoch 1, minibatch 23-160, sumy-leny = 4162-8000, Recall = 0.146479, Precision = 0.702703, F1 = 0.242424  
Epoch 1, minibatch 24-160, sumy-leny = 4161-8000, Recall = 0.141315, Precision = 0.670379, F1 = 0.233424  
Epoch 1, minibatch 25-160, sumy-leny = 4185-8000, Recall = 0.260094, Precision = 0.631699, F1 = 0.368474  
Epoch 1, minibatch 26-160, sumy-leny = 4212-8000, Recall = 0.342254, Precision = 0.684507, F1 = 0.456338  
Epoch 1, minibatch 27-160, sumy-leny = 4212-8000, Recall = 0.149296, Precision = 0.682403, F1 = 0.244992  
Epoch 1, minibatch 28-160, sumy-leny = 4213-8000, Recall = 0.164789, Precision = 0.672414, F1 = 0.264706  
Epoch 1, minibatch 29-160, sumy-leny = 4220-8000, Recall = 0.158685, Precision = 0.680080, F1 = 0.257328  
Epoch 1, minibatch 30-160, sumy-leny = 4217-8000, Recall = 0.188263, Precision = 0.685470, F1 = 0.295396  
Epoch 1, minibatch 31-160, sumy-leny = 4232-8000, Recall = 0.269953, Precision = 0.637472, F1 = 0.379288  
Epoch 1, minibatch 32-160, sumy-leny = 4227-8000, Recall = 0.139906, Precision = 0.678815, F1 = 0.231997  
Epoch 1, minibatch 33-160, sumy-leny = 4252-8000, Recall = 0.324883, Precision = 0.692693, F1 = 0.442314  
Epoch 1, minibatch 34-160, sumy-leny = 4255-8000, Recall = 0.148357, Precision = 0.617188, F1 = 0.239213  
Epoch 1, minibatch 35-160, sumy-leny = 4251-8000, Recall = 0.151643, Precision = 0.672917, F1 = 0.247510  
Epoch 1, minibatch 36-160, sumy-leny = 4255-8000, Recall = 0.170892, Precision = 0.685499, F1 = 0.273581  
Epoch 1, minibatch 37-160, sumy-leny = 4256-8000, Recall = 0.147887, Precision = 0.668790, F1 = 0.242215  
Epoch 1, minibatch 38-160, sumy-leny = 4261-8000, Recall = 0.200469, Precision = 0.689822, F1 = 0.310658  
Epoch 1, minibatch 39-160, sumy-leny = 4257-8000, Recall = 0.153052, Precision = 0.679167, F1 = 0.249808  
Epoch 1, minibatch 40-160, sumy-leny = 4277-8000, Recall = 0.329577, Precision = 0.664773, F1 = 0.440678  
Epoch 1, minibatch 41-160, sumy-leny = 4300-8000, Recall = 0.339906, Precision = 0.674744, F1 = 0.452076  
Epoch 1, minibatch 42-160, sumy-leny = 4309-8000, Recall = 0.212207, Precision = 0.697531, F1 = 0.325414  
Epoch 1, minibatch 43-160, sumy-leny = 4306-8000, Recall = 0.203756, Precision = 0.695513, F1 = 0.315178  
Epoch 1, minibatch 44-160, sumy-leny = 4315-8000, Recall = 0.166197, Precision = 0.642468, F1 = 0.264081  
Epoch 1, minibatch 45-160, sumy-leny = 4321-8000, Recall = 0.186385, Precision = 0.705151, F1 = 0.294838  
Epoch 1, minibatch 46-160, sumy-leny = 4347-8000, Recall = 0.324883, Precision = 0.664745, F1 = 0.436455  
Epoch 1, minibatch 47-160, sumy-leny = 4345-8000, Recall = 0.155869, Precision = 0.683128, F1 = 0.253823  
Epoch 1, minibatch 48-160, sumy-leny = 4360-8000, Recall = 0.227230, Precision = 0.676923, F1 = 0.340246  
Epoch 1, minibatch 49-160, sumy-leny = 4363-8000, Recall = 0.171362, Precision = 0.636998, F1 = 0.270070  
Epoch 1, minibatch 50-160, sumy-leny = 4371-8000, Recall = 0.120188, Precision = 0.656410, F1 = 0.203175  
Epoch 1, minibatch 51-160, sumy-leny = 4370-8000, Recall = 0.180282, Precision = 0.645378, F1 = 0.281835  
Epoch 1, minibatch 52-160, sumy-leny = 4364-8000, Recall = 0.149765, Precision = 0.647059, F1 = 0.243233  
Epoch 1, minibatch 53-160, sumy-leny = 4367-8000, Recall = 0.151643, Precision = 0.600372, F1 = 0.242129  
Epoch 1, minibatch 54-160, sumy-leny = 4369-8000, Recall = 0.122535, Precision = 0.595890, F1 = 0.203271  
Epoch 1, minibatch 55-160, sumy-leny = 4367-8000, Recall = 0.162441, Precision = 0.673152, F1 = 0.261725  
Epoch 1, minibatch 56-160, sumy-leny = 4361-8000, Recall = 0.108920, Precision = 0.648045, F1 = 0.186495  
Epoch 1, minibatch 57-160, sumy-leny = 4365-8000, Recall = 0.175117, Precision = 0.656690, F1 = 0.276501  
Epoch 1, minibatch 58-160, sumy-leny = 4366-8000, Recall = 0.132394, Precision = 0.668246, F1 = 0.221003  
Epoch 1, minibatch 59-160, sumy-leny = 4367-8000, Recall = 0.152582, Precision = 0.636008, F1 = 0.246119  
Epoch 1, minibatch 60-160, sumy-leny = 4363-8000, Recall = 0.139906, Precision = 0.650655, F1 = 0.230294  
Epoch 1, minibatch 61-160, sumy-leny = 4362-8000, Recall = 0.176056, Precision = 0.681818, F1 = 0.279851  
Epoch 1, minibatch 62-160, sumy-leny = 4363-8000, Recall = 0.164789, Precision = 0.608319, F1 = 0.259328  
Epoch 1, minibatch 63-160, sumy-leny = 4361-8000, Recall = 0.210329, Precision = 0.642755, F1 = 0.316944  
Epoch 1, minibatch 64-160, sumy-leny = 4354-8000, Recall = 0.170892, Precision = 0.676580, F1 = 0.272864  
Epoch 1, minibatch 65-160, sumy-leny = 4347-8000, Recall = 0.138028, Precision = 0.649007, F1 = 0.227642  
Epoch 1, minibatch 66-160, sumy-leny = 4339-8000, Recall = 0.179343, Precision = 0.657487, F1 = 0.281815  
Epoch 1, minibatch 67-160, sumy-leny = 4343-8000, Recall = 0.186854, Precision = 0.719711, F1 = 0.296683  
Epoch 1, minibatch 68-160, sumy-leny = 4348-8000, Recall = 0.192958, Precision = 0.645212, F1 = 0.297073  
Epoch 1, minibatch 69-160, sumy-leny = 4356-8000, Recall = 0.181221, Precision = 0.648739, F1 = 0.283303  
