epoch;epsilon;loss;rougeF1;rougeRecall;rougePrecision;actual;pred
48; 0.765; 0.000000; 0.424242; 0.500000; 0.368421; {min=-0.701, max=0.196}; {min=-0.731, max=0.455}
49; 0.760; 0.000000; 0.000000; 0.000000; 0.000000; {min=-1.000, max=0.000}; {min=-0.668, max=0.353}
50; 0.755; 0.000000; 0.555556; 0.714286; 0.454545; {min=-0.701, max=0.157}; {min=-0.723, max=0.365}
51; 0.750; 0.000000; 0.206897; 0.214286; 0.200000; {min=-0.701, max=-0.026}; {min=-0.731, max=0.502}
52; 0.745; 0.000000; 0.424242; 0.500000; 0.368421; {min=-0.701, max=0.196}; {min=-0.731, max=0.455}
53; 0.740; 0.000000; 0.714286; 0.714286; 0.714286; {min=-0.701, max=0.214}; {min=-0.670, max=0.073}
54; 0.735; 0.000000; 0.482759; 0.500000; 0.466667; {min=-0.647, max=0.212}; {min=-0.788, max=0.336}
55; 0.730; 0.000000; 0.500000; 0.428571; 0.600000; {min=-0.701, max=0.214}; {min=-0.670, max=0.262}
56; 0.725; 0.000000; 0.560000; 0.500000; 0.636364; {min=-0.647, max=0.251}; {min=-0.634, max=0.111}
57; 0.720; 0.000000; 0.560000; 0.500000; 0.636364; {min=-0.647, max=0.251}; {min=-0.634, max=0.111}
58; 0.715; 0.000000; 0.307692; 0.285714; 0.333333; {min=-1.000, max=0.319}; {min=-0.668, max=0.390}
59; 0.710; 0.000000; 0.625000; 0.714286; 0.555556; {min=-0.701, max=0.196}; {min=-0.723, max=0.365}
60; 0.705; 0.000000; 0.424242; 0.500000; 0.368421; {min=-0.701, max=0.196}; {min=-0.731, max=0.455}
61; 0.700; 0.000000; 0.666667; 0.500000; 1.000000; {min=-1.000, max=0.353}; {min=-0.634, max=0.087}
62; 0.695; 0.000000; 0.560000; 0.500000; 0.636364; {min=-1.000, max=0.353}; {min=-0.634, max=0.087}
63; 0.690; 0.000000; 0.560000; 0.500000; 0.636364; {min=-1.000, max=0.286}; {min=-0.634, max=0.234}
64; 0.685; 0.000000; 0.285714; 0.214286; 0.428571; {min=-1.000, max=0.299}; {min=-0.634, max=0.348}
65; 0.680; 0.000000; 0.560000; 0.500000; 0.636364; {min=-0.701, max=0.274}; {min=-0.788, max=0.336}
66; 0.675; 0.000000; 0.555556; 0.714286; 0.454545; {min=-0.701, max=0.157}; {min=-0.723, max=0.365}
67; 0.670; 0.000000; 0.555556; 0.714286; 0.454545; {min=-0.701, max=0.157}; {min=-0.723, max=0.365}
68; 0.665; 0.000000; 0.424242; 0.500000; 0.368421; {min=-1.000, max=0.249}; {min=-0.634, max=0.428}
69; 0.660; 0.000000; 0.482759; 0.500000; 0.466667; {min=-1.000, max=0.249}; {min=-0.634, max=0.428}
70; 0.655; 0.000000; 0.560000; 0.500000; 0.636364; {min=-0.701, max=0.274}; {min=-0.788, max=0.336}
71; 0.650; 0.000000; 0.424242; 0.500000; 0.368421; {min=-0.701, max=0.196}; {min=-0.731, max=0.455}
72; 0.645; 0.000000; 0.307692; 0.285714; 0.333333; {min=-1.000, max=0.319}; {min=-0.668, max=0.390}
73; 0.640; 0.000000; 0.500000; 0.428571; 0.600000; {min=-0.647, max=0.247}; {min=-0.634, max=0.067}
74; 0.635; 0.000000; 0.482759; 0.500000; 0.466667; {min=-1.000, max=0.249}; {min=-0.634, max=0.428}
75; 0.630; 0.000000; 0.714286; 0.714286; 0.714286; {min=-0.701, max=0.214}; {min=-0.670, max=0.073}
76; 0.625; 0.000000; 0.375000; 0.428571; 0.333333; {min=-0.701, max=0.157}; {min=-0.723, max=0.437}
77; 0.620; 0.000000; 0.714286; 0.714286; 0.714286; {min=-0.701, max=0.214}; {min=-0.670, max=0.073}
78; 0.615; 0.000000; 0.555556; 0.714286; 0.454545; {min=-0.701, max=0.157}; {min=-0.723, max=0.365}
79; 0.610; 0.000000; 0.714286; 0.714286; 0.714286; {min=-0.647, max=0.247}; {min=-0.634, max=0.126}
80; 0.605; 0.000000; 0.307692; 0.285714; 0.333333; {min=-1.000, max=0.319}; {min=-0.668, max=0.390}
81; 0.600; 0.000000; 0.000000; 0.000000; 0.000000; {min=-1.000, max=0.000}; {min=-0.668, max=0.353}
82; 0.595; 0.000000; 0.666667; 0.500000; 1.000000; {min=-1.000, max=0.353}; {min=-0.634, max=0.087}
83; 0.590; 0.000000; 0.555556; 0.714286; 0.454545; {min=-0.701, max=0.157}; {min=-0.723, max=0.365}
84; 0.585; 0.000000; 0.666667; 0.500000; 1.000000; {min=-1.000, max=0.353}; {min=-0.634, max=0.087}
85; 0.580; 0.000000; 0.500000; 0.428571; 0.600000; {min=-0.701, max=0.214}; {min=-0.670, max=0.262}
86; 0.575; 0.000000; 0.482759; 0.500000; 0.466667; {min=-0.647, max=0.212}; {min=-0.788, max=0.336}
